date,production volume,year_month,year,temperature_mean (Â°C),relative_humidity_mean (%),rain_sum (mm),temp_norm,humidity_norm,weather_index,prod_norm,distribution_weight,normalized_weight,Waste_Bags
2023-01-31,39974.8,2023-01,2023,24.822580645161292,79.80645161290323,2.761290322580645,0.0,0.6234056105935292,0.24936224423741168,0.24512132614919177,0.24681769338447973,0.04820116682281234,1115.1821956125864
2023-02-28,11642.6,2023-02,2023,25.63214285714286,80.03571428571429,2.9,0.18251948051948086,0.6073951333623827,0.35246974165664163,0.06802515282969335,0.18180298836047265,0.03550440833752638,821.4299912970104
2023-03-31,40048.8,2023-03,2023,27.15806451612903,80.6774193548387,2.519354838709677,0.5265454545454541,0.5625818880470641,0.5409600279460981,0.24558387818629596,0.3637343380902168,0.07103388443939745,1643.4399503898994
2023-04-30,137438.7,2023-04,2023,27.756666666666668,82.8,5.180000000000001,0.6615030303030305,0.4143522234708622,0.5626427075701632,0.8543392381642936,0.7376606259266414,0.14405816050441234,3332.929601430084
2023-05-31,44932.4,2023-05,2023,28.219354838709677,83.35483870967742,4.854838709677419,0.7658181818181816,0.37560525947829826,0.6097330128822283,0.2761098123538898,0.40955909256522516,0.07998302663733352,1850.4873042813483
2023-06-30,47809.2,2023-06,2023,28.363333333333333,81.3,2.8033333333333332,0.7982787878787878,0.5191041900786644,0.6866089487587385,0.29409183533147476,0.45109868070238024,0.08809531627951456,2038.1732374428489
2023-07-31,137832.4,2023-07,2023,28.038709677419355,78.45161290322581,1.4838709677419355,0.7250909090909091,0.7180202901102539,0.722262661498647,0.8568001400157518,0.8029851486089099,0.1568154234552645,3628.0816370609996
2023-08-31,140188.4,2023-08,2023,28.55483870967742,74.70967741935483,0.9064516129032257,0.8414545454545455,0.9793370240135889,0.8966075368781629,0.8715267967646361,0.8815590928100467,0.1721601734220572,3983.097772292715
2023-09-30,54162.4,2023-09,2023,27.28666666666667,81.23333333333333,7.06,0.5555393939393943,0.5237598330390109,0.5428275695792409,0.33380380292782935,0.41741330958839395,0.08151688111836781,1885.9745615545578
2023-10-31,20177.6,2023-10,2023,26.316129032258065,86.45161290322581,9.935483870967742,0.3367272727272726,0.15934313486864238,0.2657736175838205,0.12137490467677613,0.1791343898395939,0.03498325622430404,809.3726160054982
2023-11-30,29555.4,2023-11,2023,25.853333333333335,88.73333333333333,16.17,0.23238787878787898,0.0,0.13943272727272737,0.17999274918428323,0.16376874041966089,0.03198248986564065,739.9468855314622
2023-12-31,48812.0,2023-12,2023,26.135483870967743,85.70967741935483,8.32258064516129,0.29600000000000004,0.21115593555637302,0.2620623742225492,0.3003600405045567,0.2850409739917537,0.05566581289336927,1287.8842471009914
2024-01-31,80483.8,2024-01,2024,25.983870967741936,81.3225806451613,5.025806451612904,0.26181818181818167,0.5175272787533851,0.36410182059226304,0.4983310622445025,0.4446393655836067,0.07818843341525883,1678.6274769921918
2024-02-29,45216.0,2024-02,2024,27.593103448275862,74.41379310344827,0.9241379310344828,0.6246269592476488,1.0,0.7747761755485894,0.2778825117825755,0.476639977288981,0.08381564029625357,1799.437981520268
2024-03-31,160741.8,2024-03,2024,28.258064516129032,74.51612903225806,1.7322580645161292,0.7745454545454544,0.9928534068016921,0.8618686354479494,1.0,0.9447474541791798,0.16613086724421938,3566.663588866146
2024-04-30,105900.2,2024-04,2024,28.696666666666665,81.16666666666667,3.9833333333333334,0.8734303030303028,0.5284154759993573,0.7354243722179246,0.6572014351614557,0.6884906099840433,0.12106890748440971,2599.228374782792
2024-05-31,34868.6,2024-05,2024,28.41290322580645,84.0,13.380645161290323,0.8094545454545449,0.33055065018462026,0.617892987346575,0.21320398544836291,0.3750795862076478,0.06595656507634408,1416.021495624031
2024-06-30,66619.2,2024-06,2024,27.81,82.83333333333333,4.496666666666667,0.6735272727272724,0.4120244019906889,0.568926124432639,0.41166756260079257,0.47457098733353115,0.08345181492250107,1791.6270145711756
2024-07-31,41157.4,2024-07,2024,27.858064516129033,81.61290322580645,2.696774193548387,0.6843636363636365,0.4972527045712304,0.6095192636466741,0.25251340775837283,0.39531575011369335,0.06951503082773199,1492.418196840578
2024-08-31,123797.0,2024-08,2024,27.548387096774192,81.12903225806451,6.296774193548386,0.6145454545454542,0.5310436615414892,0.5811447373438682,0.7690690202647797,0.6938993070964151,0.12202000985358234,2619.6475915465594
2024-09-30,77280.2,2024-09,2024,27.92,80.16666666666667,4.156666666666667,0.698327272727273,0.5982501204045587,0.6582964117981873,0.47830630945981417,0.5503023503951634,0.09676893683414123,2077.532304892178
2024-10-31,42122.2,2024-10,2024,26.851612903225806,84.09677419354838,6.980645161290322,0.4574545454545453,0.3237924587905687,0.4039897107889546,0.25854408620969854,0.316722336041401,0.055694626251084525,1195.7079309845337
2024-11-30,20753.8,2024-11,2024,25.703333333333333,88.03333333333333,14.483333333333333,0.19856969696969667,0.04888425108364125,0.13869551861527452,0.12497655986298459,0.13046414336390055,0.022941709115427027,492.53555299910283
2024-12-31,22546.6,2024-12,2024,26.141935483870967,84.90322580645162,3.8225806451612905,0.29745454545454497,0.2674741971734703,0.2854624061421151,0.13618282056731382,0.19589465479723434,0.03444745867904633,739.5524903804458
2025-01-31,759.8,2025-01,2025,25.4,83.2258064516129,6.212903225806452,0.13018181818181757,0.3846161813370347,0.2319555634439044,0.0,0.09278222537756176,0.03068375226722461,868.6570266851287
2025-02-28,24729.8,2025-02,2025,26.514285714285712,75.71428571428571,0.9571428571428572,0.3814025974025968,0.9091805609705755,0.5925137828297883,0.1498293558025278,0.326903126613432,0.10810922578726473,3060.5721820374647
2025-03-31,16971.2,2025-03,2025,27.164516129032258,80.64516129032258,4.570967741935483,0.5279999999999998,0.564834618511748,0.5427338474046991,0.10133264992311636,0.27789312891574947,0.0919012654602362,2601.724825179287
2025-04-30,41072.6,2025-04,2025,27.87,81.13333333333334,5.206666666666666,0.6870545454545456,0.5307432974795305,0.6245300462645396,0.25198334812666423,0.40100202738181434,0.13261426762257894,3754.3099163952097
2025-05-31,64598.0,2025-05,2025,29.258064516129032,76.2258064516129,3.5903225806451613,1.0,0.8734586921734449,0.949383476869378,0.3990336412846445,0.6191735755185379,0.20476517484152817,5796.902099763663
2025-06-30,43069.4,2025-06,2025,28.583333333333332,77.9,2.5933333333333337,0.8478787878787876,0.7565419810563487,0.811344065149812,0.264464752284632,0.48321647743070406,0.1598031802383386,4524.028032547365
2025-07-31,126633.0,2025-07,2025,28.62258064516129,75.74193548387096,0.7,0.8567272727272724,0.9072496491437037,0.8769362232938449,0.7867960145516371,0.8228520980485201,0.2721231337828287,7703.805917391881
