temperature_mean (°C),temperature_max (°C),temperature_min (°C),wind_speed_max (km/h),wind_gusts_max (km/h),rain_sum (mm),wind_gusts_mean (km/h),wind_speed_mean (km/h),wind_gusts_min (km/h),wind_speed_min (km/h),weather_code (wmo code),relative_humidity_mean (%),relative_humidity_max (%),relative_humidity_min (%),year_month,date
24.822580645161292,29.26451612903226,21.567741935483873,18.393548387096775,35.222580645161294,2.761290322580645,23.69677419354839,12.196774193548388,14.558064516129033,7.580645161290323,29.451612903225808,79.80645161290323,93.64516129032258,60.064516129032256,2023-01,2023-01-01
25.63214285714286,30.307142857142857,22.235714285714288,18.857142857142858,35.767857142857146,2.9,24.582142857142856,12.517857142857142,14.37142857142857,7.014285714285714,29.428571428571427,80.03571428571429,95.28571428571429,58.25,2023-02,2023-02-01
27.15806451612903,31.425806451612903,23.919354838709676,15.996774193548386,32.84193548387097,2.519354838709677,21.006451612903227,9.993548387096775,10.845161290322581,4.996774193548387,48.483870967741936,80.6774193548387,95.64516129032258,59.83870967741935,2023-03,2023-03-01
27.756666666666668,31.959999999999997,24.78666666666667,14.83,32.83,5.180000000000001,18.153333333333332,8.106666666666666,8.403333333333332,3.453333333333333,57.666666666666664,82.8,96.36666666666666,62.2,2023-04,2023-04-01
28.219354838709677,30.467741935483872,26.258064516129032,20.40967741935484,39.32258064516129,4.854838709677419,28.783870967741933,15.029032258064516,18.60967741935484,9.890322580645162,51.45161290322581,83.35483870967742,91.83870967741936,73.48387096774194,2023-05,2023-05-01
28.363333333333333,30.243333333333332,26.753333333333334,26.373333333333335,49.809999999999995,2.8033333333333332,39.233333333333334,20.90666666666667,28.80666666666667,15.79,50.53333333333333,81.3,88.4,72.93333333333334,2023-06,2023-06-01
28.038709677419355,30.374193548387098,26.309677419354838,24.848387096774193,52.29032258064516,1.4838709677419355,41.49677419354838,20.15806451612903,30.85483870967742,15.745161290322581,38.61290322580645,78.45161290322581,87.54838709677419,66.74193548387096,2023-07,2023-07-01
28.55483870967742,32.18387096774194,26.116129032258065,22.106451612903225,47.74193548387097,0.9064516129032257,36.596774193548384,17.4,24.96451612903226,12.790322580645162,24.161290322580644,74.70967741935483,87.74193548387096,56.516129032258064,2023-08,2023-08-01
27.28666666666667,29.673333333333336,25.220000000000002,24.986666666666668,51.88666666666666,7.06,38.67666666666666,18.916666666666668,26.10666666666667,13.346666666666666,56.93333333333333,81.23333333333333,90.9,70.16666666666667,2023-09,2023-09-01
26.316129032258065,29.76451612903226,23.916129032258063,16.119354838709675,35.645161290322584,9.935483870967742,22.41290322580645,10.093548387096773,12.461290322580645,5.52258064516129,59.516129032258064,86.45161290322581,95.93548387096774,71.0,2023-10,2023-10-01
25.853333333333335,29.89333333333333,23.336666666666666,12.57,29.83,16.17,16.816666666666666,6.97,7.569999999999999,2.1766666666666667,61.6,88.73333333333333,97.36666666666666,71.83333333333333,2023-11,2023-11-01
26.135483870967743,29.92258064516129,23.738709677419354,17.783870967741933,38.13548387096775,8.32258064516129,25.46451612903226,11.845161290322581,14.396774193548387,6.464516129032258,57.903225806451616,85.70967741935483,95.48387096774194,69.96774193548387,2023-12,2023-12-01
25.983870967741936,30.296774193548387,22.77741935483871,15.883870967741936,34.693548387096776,5.025806451612904,23.038709677419355,10.864516129032259,13.806451612903226,6.516129032258065,44.903225806451616,81.3225806451613,93.90322580645162,63.41935483870968,2024-01,2024-01-01
27.593103448275862,32.810344827586206,23.410344827586208,18.33103448275862,39.13793103448276,0.9241379310344828,26.26551724137931,12.324137931034482,14.555172413793104,6.917241379310345,30.96551724137931,74.41379310344827,93.13793103448276,51.172413793103445,2024-02,2024-02-01
28.258064516129032,34.28064516129032,23.870967741935484,16.4,38.15161290322581,1.7322580645161292,21.387096774193548,9.180645161290323,8.62258064516129,3.838709677419355,39.32258064516129,74.51612903225806,94.03225806451613,45.064516129032256,2024-03,2024-03-01
28.696666666666665,33.56333333333333,25.14,15.03,34.77333333333333,3.9833333333333334,19.790000000000003,8.383333333333333,8.663333333333332,3.3233333333333333,53.4,81.16666666666667,95.5,58.766666666666666,2024-04,2024-04-01
28.41290322580645,31.4,25.916129032258063,20.370967741935484,44.39354838709678,13.380645161290323,31.041935483870965,14.648387096774192,19.693548387096776,9.709677419354838,58.935483870967744,84.0,93.61290322580645,70.6774193548387,2024-05,2024-05-01
27.81,29.763333333333332,26.153333333333332,25.453333333333333,52.06666666666667,4.496666666666667,40.486666666666665,20.13,30.516666666666666,15.346666666666666,55.46666666666667,82.83333333333333,89.16666666666667,74.96666666666667,2024-06,2024-06-01
27.858064516129033,29.703225806451613,26.325806451612905,25.629032258064516,52.7,2.696774193548387,41.380645161290325,20.47741935483871,31.809677419354838,16.496774193548386,47.903225806451616,81.61290322580645,89.06451612903226,73.19354838709677,2024-07,2024-07-01
27.548387096774192,30.0,25.651612903225807,21.96451612903226,45.516129032258064,6.296774193548386,34.70322580645161,16.94193548387097,24.322580645161292,12.180645161290323,55.903225806451616,81.12903225806451,89.58064516129032,70.6774193548387,2024-08,2024-08-01
27.92,30.290000000000003,26.113333333333333,23.976666666666667,50.54333333333333,4.156666666666667,38.87,19.07,28.59333333333333,14.473333333333333,55.53333333333333,80.16666666666667,88.13333333333334,69.9,2024-09,2024-09-01
26.851612903225806,29.616129032258065,24.677419354838708,17.9,38.91612903225807,6.980645161290322,25.76451612903226,12.180645161290323,13.896774193548387,6.809677419354839,57.193548387096776,84.09677419354838,93.7741935483871,72.45161290322581,2024-10,2024-10-01
25.703333333333333,29.346666666666668,23.313333333333333,17.203333333333333,36.36,14.483333333333333,21.14,10.056666666666667,9.443333333333333,4.08,60.2,88.03333333333333,97.16666666666667,72.53333333333333,2024-11,2024-11-01
26.141935483870967,29.548387096774192,23.383870967741935,16.91290322580645,32.21935483870968,3.8225806451612905,20.65806451612903,10.383870967741935,9.406451612903227,4.764516129032257,50.61290322580645,84.90322580645162,95.54838709677419,68.93548387096774,2024-12,2024-12-01
25.4,29.148387096774194,22.596774193548388,19.73548387096774,38.274193548387096,6.212903225806452,26.403225806451612,13.86774193548387,16.864516129032257,8.709677419354838,45.12903225806452,83.2258064516129,94.2258064516129,67.25806451612904,2025-01,2025-01-01
26.514285714285712,31.717857142857145,22.29642857142857,18.510714285714283,36.375,0.9571428571428572,25.532142857142855,13.103571428571428,15.903571428571428,8.442857142857143,22.714285714285715,75.71428571428571,94.07142857142857,51.32142857142857,2025-02,2025-02-01
27.164516129032258,32.096774193548384,23.32903225806452,14.887096774193548,31.65806451612903,4.570967741935483,19.016129032258064,8.670967741935485,8.125806451612904,3.5290322580645164,50.064516129032256,80.64516129032258,96.45161290322581,57.225806451612904,2025-03,2025-03-01
27.87,31.793333333333337,24.75,18.12,37.61333333333334,5.206666666666666,24.05,11.870000000000001,13.093333333333334,5.993333333333333,55.333333333333336,81.13333333333334,94.4,63.5,2025-04,2025-04-01
29.258064516129032,32.196774193548386,26.606451612903225,26.66774193548387,51.18387096774194,3.5903225806451613,38.858064516129026,20.68064516129032,26.383870967741935,14.696774193548388,51.83870967741935,76.2258064516129,88.51612903225806,63.096774193548384,2025-05,2025-05-01
28.583333333333332,31.07,26.676666666666666,29.236666666666668,55.50333333333333,2.5933333333333337,43.63333333333333,23.59333333333333,32.81333333333333,18.64,43.13333333333333,77.9,87.73333333333333,65.23333333333333,2025-06,2025-06-01
28.62258064516129,31.751612903225805,26.42258064516129,28.896774193548385,55.309677419354834,0.7,42.54838709677419,22.66774193548387,30.370967741935484,16.93548387096774,28.677419354838708,75.74193548387096,87.96774193548387,58.516129032258064,2025-07,2025-07-01
28.089999999999996,31.47,25.860000000000003,23.16,45.37,1.1600000000000001,34.96,18.4,24.009999999999998,13.48,48.0,77.3,90.3,60.2,2025-08,2025-08-01
